,RMSE,MAE,R2,MAPE
ARIMA,2076851.8316531754,1620370.6458665188,-0.3858635512330333,3.5483381099215108
Exp Smoothing,2703221.526409804,2265128.669837386,-1.3478628247001518,4.931304886049612
